sku_id,name,category,unit_cost,lead_time_days,lead_time_std_days,service_level,current_stock,month,quantity
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2024-01-01,700
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2024-02-01,703
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2024-03-01,617
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2024-04-01,675
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2024-05-01,787
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2024-06-01,707
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2024-07-01,672
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2024-08-01,646
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2024-09-01,725
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2024-10-01,779
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2024-11-01,706
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2024-12-01,787
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2025-01-01,703
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2025-02-01,691
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2025-03-01,729
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2025-04-01,681
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2025-05-01,710
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2025-06-01,655
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2025-07-01,717
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2025-08-01,709
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2025-09-01,669
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2025-10-01,646
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2025-11-01,745
SKU-001,의료용 니트릴 장갑,멸균소모품,36.3,45.17,11.19,0.99,77,2025-12-01,755
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2024-01-01,885
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2024-02-01,1084
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2024-03-01,938
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2024-04-01,1032
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2024-05-01,847
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2024-06-01,693
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2024-07-01,437
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2024-08-01,463
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2024-09-01,546
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2024-10-01,317
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2024-11-01,557
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2024-12-01,520
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2025-01-01,839
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2025-02-01,878
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2025-03-01,998
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2025-04-01,909
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2025-05-01,794
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2025-06-01,747
SKU-002,멸균 주사기,검사소모품,37.4,42.96,11.09,0.99,44,2025-07-01,544
